date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:43	47399/47399	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:39%20GMT	http://localhost:8888/knbc/index.php/construction	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.php/construction.html	(from http://localhost:8888/knbc/)
21:06:45	25103/25103	---MC-	200	added ('OK')	text/html	date:Fri,%2028%20Oct%202022%2000:06:41%20GMT	http://localhost:8888/knbc/index.php/contact	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/index.php/contact.html	(from http://localhost:8888/knbc/)
21:06:56	94880/94880	---M--	200	added ('OK')	application/javascript	etag:%22172a0-515420174a600%22	http://localhost:8888/knbc/media/com_uniterevolution2/assets/rs-plugin/js/jquery.themepunch.tools.min.js	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/media/com_uniterevolution2/assets/rs-plugin/js/jquery.themepunch.tools.min.js	(from http://localhost:8888/knbc/)
21:07:04	111127/111127	---M--	200	added ('OK')	application/javascript	etag:%221b217-515420174a600%22	http://localhost:8888/knbc/media/com_uniterevolution2/assets/rs-plugin/js/jquery.themepunch.revolution.min.js	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/media/com_uniterevolution2/assets/rs-plugin/js/jquery.themepunch.revolution.min.js	(from http://localhost:8888/knbc/)
21:07:41	318893/318893	---M--	200	added ('OK')	image/jpeg	etag:%224ddad-5e77883454500%22	http://localhost:8888/knbc/images/sliders/master/slider_3.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/sliders/master/slider_3.jpg	(from http://localhost:8888/knbc/)
21:07:47	250467/250467	---M--	200	added ('OK')	image/jpeg	etag:%223d263-5e792bff06ec0%22	http://localhost:8888/knbc/images/recentworks/SampleWork%20I.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/recentworks/SampleWork%20I.jpg	(from http://localhost:8888/knbc/)
21:08:10	166431/166431	---M--	200	added ('OK')	image/jpeg	etag:%2228a1f-5e792ce200640%22	http://localhost:8888/knbc/images/recentworks/SampleWork%20II.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/recentworks/SampleWork%20II.jpg	(from http://localhost:8888/knbc/)
21:08:20	500332/500332	---M--	200	added ('OK')	image/jpeg	etag:%227a26c-5e7664356dd80%22	http://localhost:8888/knbc/images/sliders/master/slider_2.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/sliders/master/slider_2.jpg	(from http://localhost:8888/knbc/)
21:08:29	237821/237821	---M--	200	added ('OK')	image/jpeg	etag:%223a0fd-5e792d3c99c00%22	http://localhost:8888/knbc/images/recentworks/SampleWork%20III.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/recentworks/SampleWork%20III.jpg	(from http://localhost:8888/knbc/)
21:08:30	613753/613753	---M--	200	added ('OK')	image/jpeg	etag:%2295d79-5e765adca9040%22	http://localhost:8888/knbc/images/sliders/master/slider_1.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/sliders/master/slider_1.jpg	(from http://localhost:8888/knbc/)
21:08:38	96435/96435	---M--	200	added ('OK')	image/jpeg	etag:%22178b3-5e792ddae9180%22	http://localhost:8888/knbc/images/recentworks/SampleWork%20V.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/recentworks/SampleWork%20V.jpg	(from http://localhost:8888/knbc/)
21:08:51	226384/226384	---M--	200	added ('OK')	image/jpeg	etag:%2237450-5e792d8acd480%22	http://localhost:8888/knbc/images/recentworks/SampleWork%20IV.jpg	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/images/recentworks/SampleWork%20IV.jpg	(from http://localhost:8888/knbc/)
21:08:54	7762/7762	---M--	200	added ('OK')	image/png	etag:%221e52-5e7f1a2adff80%22	http://localhost:8888/knbc/templates/aaika/images/clogo1.png	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/images/clogo1.png	(from http://localhost:8888/knbc/)
21:08:57	7829/7829	---M--	200	added ('OK')	image/png	etag:%221e95-5e7f1a8b322c0%22	http://localhost:8888/knbc/templates/aaika/images/clogo2.png	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/images/clogo2.png	(from http://localhost:8888/knbc/)
21:09:00	8994/8994	---M--	200	added ('OK')	image/png	etag:%222322-5e7f1b2a75a80%22	http://localhost:8888/knbc/templates/aaika/images/clogo3.png	/Users/jermainebrown/websites/KNBC/localhost_8888/knbc/templates/aaika/images/clogo3.png	(from http://localhost:8888/knbc/)
